iter	Logloss
0	0.6496825324
1	0.6102947913
2	0.5810802856
3	0.5562063477
4	0.5373937996
5	0.5230643044
6	0.5088644339
7	0.4978025577
8	0.4867761376
9	0.4781329686
10	0.4679654841
11	0.4579141374
12	0.4509672871
13	0.4468325767
14	0.440200656
15	0.4345727269
16	0.4292851481
17	0.4221193503
18	0.4166758056
19	0.4075682744
20	0.4033987322
21	0.4002946356
22	0.3889275675
23	0.3819495215
24	0.3767631944
25	0.3708928988
26	0.3657114534
27	0.3643303092
28	0.3599507395
29	0.3557084084
30	0.354472945
31	0.3510846269
32	0.3424843897
33	0.3413892017
34	0.3404364908
35	0.33330886
36	0.332404289
37	0.3313238639
38	0.3264691037
39	0.3214898819
40	0.320602537
41	0.3122108268
42	0.3087306197
43	0.3080723371
44	0.306633214
45	0.3044696283
46	0.3038516031
47	0.3032626772
48	0.3025803465
49	0.3021233634
50	0.301412231
51	0.300902868
52	0.299899326
53	0.2994712119
54	0.2990921097
55	0.298525568
56	0.2981325364
57	0.297385126
58	0.295569424
59	0.2938076576
60	0.2922969339
61	0.2917322464
62	0.2911792254
63	0.2905583394
64	0.289215593
65	0.2882013291
66	0.2879267838
67	0.2875891429
68	0.2862549162
69	0.2844082964
70	0.2841398977
71	0.2827781558
72	0.2811437641
73	0.28065648
74	0.280327971
75	0.2797620561
76	0.2794688077
77	0.2792827148
78	0.2790375038
79	0.2785324164
80	0.278217986
81	0.2778756319
82	0.2775166733
83	0.2760732167
84	0.2757365533
85	0.2754539571
86	0.2741539856
87	0.2737688628
88	0.2725512872
89	0.2722608275
90	0.2719646355
91	0.2717962063
92	0.2709146741
93	0.2698852251
94	0.2691496559
95	0.268290321
96	0.2680411124
97	0.2678539655
98	0.2676007684
99	0.2673496934
100	0.267011664
101	0.2667685919
102	0.2664979405
103	0.266151437
104	0.2659508279
105	0.2657208844
106	0.2653574745
107	0.2652044183
108	0.2649843604
109	0.2644500432
110	0.26297367
111	0.2618659542
112	0.2617388024
113	0.2615628468
114	0.2611539111
115	0.2609472662
116	0.2605944084
117	0.2604675096
118	0.2599670024
119	0.2597694857
120	0.2590272105
121	0.2585789002
122	0.2583493237
123	0.2580430819
124	0.2578480552
125	0.2572469385
126	0.2562052096
127	0.2560453777
128	0.2558982376
129	0.2556940807
130	0.2554564616
131	0.2552618163
132	0.2545700355
133	0.2544317532
134	0.2543129556
135	0.2541255989
136	0.253941246
137	0.2527272477
138	0.2525277619
139	0.2523650479
140	0.2519777242
141	0.2518434764
142	0.2515674891
143	0.2503545427
144	0.2497397002
145	0.2495166569
146	0.2492980614
147	0.2491114199
148	0.2486592853
149	0.2481534943
150	0.2479782953
151	0.2477524247
152	0.2475129445
153	0.247346561
154	0.2469971996
155	0.2468432532
156	0.2466356092
157	0.2458420182
158	0.2457044898
159	0.2455976134
160	0.2452655325
161	0.2450717258
162	0.2447763228
163	0.2445833472
164	0.2444222354
165	0.2442749045
166	0.2440397778
167	0.2438545461
168	0.2436336752
169	0.2434802133
170	0.2432794767
171	0.2431616426
172	0.2430225052
173	0.2427794148
174	0.2426253649
175	0.2424482185
176	0.2422823074
177	0.2421368445
178	0.2419406501
179	0.2417650544
180	0.2416117591
181	0.241469172
182	0.2413536053
183	0.2397259918
184	0.2390647862
185	0.2378617788
186	0.2376663134
187	0.2375313778
188	0.2371935209
189	0.2370881869
190	0.2362446254
191	0.2360889592
192	0.235953508
193	0.2357261683
194	0.2355850877
195	0.235486906
196	0.2353317451
197	0.2351541409
198	0.235058424
199	0.2347601273
200	0.2346113292
201	0.2345092971
202	0.2343505058
203	0.2342586245
204	0.2341449105
205	0.2340408186
206	0.2339000419
207	0.2337715902
208	0.2333866936
209	0.2332894845
210	0.2331635459
211	0.2330745957
212	0.2329708732
213	0.2328462382
214	0.2322286153
215	0.2320998976
216	0.2319461959
217	0.2318124537
218	0.2316873262
219	0.2315910693
220	0.231429844
221	0.231343873
222	0.2312187455
223	0.2311537392
224	0.2310539356
225	0.2309623772
226	0.2308620824
227	0.2307795024
228	0.2306256373
229	0.2305244281
230	0.2304121199
231	0.2302772232
232	0.2301686751
233	0.2300532818
234	0.2299266602
235	0.2298035168
236	0.2297144403
237	0.2295862844
238	0.2294958685
239	0.2293539556
240	0.2292738571
241	0.2292063006
242	0.2290988245
243	0.2289781216
244	0.2288672725
245	0.228764894
246	0.2286663319
247	0.2285466605
248	0.2284523667
249	0.2283155575
250	0.2282296235
251	0.2281280583
252	0.2280449115
253	0.2279405009
254	0.2278501261
255	0.2277614398
256	0.2276648231
257	0.2275800404
258	0.2275106809
259	0.2271196342
260	0.2270291535
261	0.226921752
262	0.2268178681
263	0.2267015913
264	0.2265964725
265	0.2265391116
266	0.2264430044
267	0.2263437247
268	0.2262557153
269	0.2261670001
270	0.2260905398
271	0.2260124892
272	0.225955718
273	0.2258532728
274	0.2257531824
275	0.2256655195
276	0.2255841454
277	0.2255105757
278	0.2253838744
279	0.2250921809
280	0.2249975341
281	0.2249133797
282	0.2248255886
283	0.2247274444
284	0.2246601294
285	0.224577635
286	0.2245030665
287	0.2244133006
288	0.2243238773
289	0.2242000403
290	0.2240951481
291	0.223987326
292	0.2237645179
293	0.2236593988
294	0.223549147
295	0.2234487695
296	0.2233589574
