iter	Passed	Remaining
0	237	237747
1	272	135730
2	304	101210
3	338	84180
4	369	73588
5	400	66392
6	434	61591
7	468	58051
8	502	55349
9	533	52826
10	564	50761
11	597	49157
12	628	47705
13	658	46375
14	690	45374
15	725	44610
16	755	43660
17	789	43081
18	819	42308
19	849	41623
20	894	41701
21	926	41179
22	962	40871
23	997	40549
24	1028	40097
25	1059	39678
26	1091	39334
27	1121	38943
28	1155	38689
29	1187	38386
30	1215	38002
31	1260	38122
32	1292	37875
33	1321	37532
34	1351	37271
35	1385	37099
36	1417	36894
37	1447	36648
38	1479	36445
39	1510	36250
40	1539	36013
41	1576	35949
42	1609	35818
43	1638	35595
44	1668	35409
45	1697	35211
46	1728	35043
47	1759	34894
48	1790	34744
49	1821	34608
50	1850	34437
51	1880	34279
52	1910	34141
53	1941	34019
54	1971	33877
55	2004	33794
56	2035	33671
57	2065	33549
58	2096	33442
59	2128	33350
60	2158	33233
61	2187	33092
62	2216	32971
63	2246	32853
64	2278	32774
65	2310	32701
66	2341	32606
67	2371	32505
68	2406	32468
69	2439	32416
70	2470	32318
71	2501	32245
72	2535	32192
73	2565	32098
74	2595	32009
75	2623	31894
76	2651	31785
77	2680	31681
78	2710	31595
79	2741	31528
80	2773	31469
81	2802	31378
82	2831	31280
83	2864	31239
84	2897	31192
85	2928	31121
86	2960	31066
87	2990	30993
88	3021	30923
89	3053	30879
90	3083	30805
91	3114	30736
92	3144	30669
93	3178	30639
94	3211	30593
95	3241	30527
96	3272	30464
97	3302	30400
98	3332	30329
99	3362	30260
100	3394	30213
101	3426	30162
102	3458	30116
103	3486	30039
104	3516	29973
105	3546	29909
106	3576	29849
107	3606	29784
108	3637	29733
109	3667	29670
110	3697	29615
111	3731	29588
112	3760	29520
113	3788	29443
114	3818	29384
115	3847	29321
116	3878	29269
117	3908	29214
118	3942	29186
119	3973	29138
120	4005	29100
121	4036	29049
122	4066	28995
123	4096	28936
124	4124	28873
125	4155	28823
126	4184	28767
127	4213	28706
128	4244	28659
129	4275	28613
130	4305	28561
131	4336	28514
132	4365	28460
133	4395	28403
134	4425	28353
135	4456	28309
136	4488	28272
137	4518	28223
138	4547	28170
139	4577	28117
140	4608	28075
141	4637	28021
142	4667	27973
143	4699	27936
144	4733	27910
145	4764	27869
146	4798	27843
147	4829	27800
148	4860	27763
149	4894	27737
150	4928	27712
151	4961	27679
152	4994	27647
153	5025	27606
154	5056	27568
155	5088	27531
156	5120	27495
157	5154	27469
158	5186	27431
159	5216	27385
160	5248	27353
161	5282	27326
162	5315	27295
163	5345	27249
164	5375	27202
165	5404	27151
166	5432	27099
167	5463	27058
168	5495	27022
169	5525	26978
170	5557	26940
171	5585	26889
172	5613	26836
173	5645	26800
174	5674	26753
175	5706	26717
176	5738	26680
177	5768	26639
178	5798	26594
179	5827	26549
180	5857	26504
181	5886	26457
182	5915	26410
183	5950	26391
184	5985	26370
185	6020	26347
186	6051	26307
187	6083	26276
188	6116	26245
189	6146	26204
190	6175	26156
191	6211	26141
192	6241	26099
193	6271	26056
194	6308	26041
195	6341	26011
196	6373	25978
197	6404	25942
198	6437	25910
199	6467	25871
200	6499	25834
201	6531	25804
202	6565	25775
203	6596	25738
204	6626	25696
205	6655	25651
206	6685	25611
207	6718	25582
208	6748	25541
209	6777	25495
210	6807	25454
211	6834	25405
212	6864	25364
213	6895	25326
214	6928	25298
215	6959	25260
216	6992	25229
217	7023	25192
218	7052	25150
219	7082	25110
220	7113	25074
221	7144	25036
222	7177	25010
223	7206	24964
224	7236	24924
225	7265	24881
226	7293	24836
227	7322	24793
228	7353	24759
229	7385	24724
230	7416	24691
231	7447	24653
232	7476	24612
233	7507	24574
234	7538	24541
235	7569	24503
236	7598	24461
237	7635	24447
238	7667	24412
239	7696	24371
240	7725	24331
241	7754	24289
242	7787	24259
243	7819	24227
244	7851	24196
245	7882	24160
246	7913	24124
247	7945	24092
248	7975	24055
249	8005	24017
250	8036	23981
251	8067	23946
252	8096	23906
253	8126	23866
254	8157	23831
255	8187	23795
256	8217	23757
257	8246	23716
258	8278	23684
259	8309	23650
260	8340	23614
261	8371	23580
262	8400	23539
263	8429	23500
264	8459	23462
265	8487	23420
266	8519	23388
267	8549	23350
268	8577	23308
269	8605	23266
270	8635	23231
271	8666	23195
272	8695	23156
273	8728	23128
274	8759	23092
275	8789	23057
276	8818	23016
277	8848	22981
278	8880	22950
279	8910	22912
280	8939	22874
281	8972	22845
282	9002	22809
283	9043	22798
284	9072	22761
285	9102	22723
286	9131	22686
287	9163	22654
288	9195	22623
289	9227	22590
290	9257	22555
291	9289	22523
292	9319	22487
293	9350	22453
294	9382	22422
295	9412	22387
296	9443	22353
297	9473	22317
298	9503	22281
299	9533	22245
300	9563	22209
301	9594	22175
302	9625	22141
303	9655	22105
304	9686	22071
305	9718	22041
306	9749	22007
307	9778	21970
308	9810	21939
309	9842	21908
310	9873	21874
311	9904	21839
312	9934	21806
313	9964	21768
314	9993	21731
315	10022	21695
316	10053	21661
317	10083	21625
318	10113	21589
319	10142	21553
320	10170	21513
321	10201	21480
322	10231	21445
323	10262	21412
324	10292	21377
325	10322	21342
326	10352	21306
327	10383	21272
328	10412	21236
329	10443	21202
330	10476	21173
331	10507	21140
332	10537	21107
333	10569	21075
334	10597	21037
335	10626	21000
336	10657	20966
337	10687	20932
338	10716	20894
339	10747	20863
340	10779	20832
341	10808	20795
342	10838	20761
343	10868	20726
344	10900	20695
345	10932	20664
346	10963	20632
347	10993	20597
348	11024	20564
349	11054	20529
350	11085	20497
351	11115	20462
352	11145	20428
353	11178	20398
354	11209	20366
355	11241	20335
356	11272	20302
357	11301	20267
358	11333	20236
359	11362	20199
360	11392	20166
361	11423	20132
362	11455	20101
363	11484	20066
364	11513	20030
365	11544	19997
366	11572	19960
367	11602	19925
368	11630	19888
369	11659	19852
370	11687	19816
371	11717	19781
372	11747	19747
373	11777	19712
374	11807	19679
375	11836	19643
376	11864	19606
377	11895	19574
378	11928	19544
379	11960	19514
380	11992	19483
381	12022	19449
382	12054	19418
383	12084	19384
384	12114	19352
385	12144	19317
386	12174	19284
387	12204	19249
388	12234	19216
389	12265	19184
390	12295	19150
391	12323	19114
392	12353	19079
393	12380	19042
394	12409	19006
395	12441	18975
396	12472	18944
397	12503	18912
398	12533	18879
399	12563	18845
400	12592	18809
401	12623	18778
402	12652	18743
403	12684	18713
404	12715	18680
405	12746	18648
406	12775	18613
407	12803	18578
408	12833	18543
409	12864	18512
410	12895	18480
411	12927	18449
412	12955	18414
413	12987	18382
414	13015	18346
415	13046	18314
416	13076	18282
417	13108	18251
418	13139	18219
419	13170	18188
420	13199	18153
421	13228	18119
422	13260	18087
423	13292	18057
424	13323	18025
425	13353	17992
426	13382	17958
427	13415	17929
428	13445	17896
429	13476	17864
430	13507	17832
431	13537	17798
432	13568	17767
433	13598	17734
434	13628	17701
435	13657	17667
436	13688	17635
437	13718	17602
438	13749	17570
439	13780	17538
440	13810	17506
441	13841	17474
442	13871	17440
443	13902	17409
444	13936	17381
445	13966	17348
446	13995	17314
447	14026	17282
448	14056	17250
449	14087	17217
450	14117	17185
451	14148	17153
452	14178	17120
453	14207	17086
454	14238	17055
455	14268	17021
456	14302	16994
457	14333	16962
458	14364	16930
459	14394	16897
460	14423	16863
461	14454	16831
462	14483	16798
463	14512	16764
464	14541	16730
465	14572	16699
466	14603	16666
467	14634	16635
468	14664	16603
469	14694	16570
470	14725	16539
471	14756	16506
472	14785	16473
473	14816	16442
474	14847	16410
475	14877	16377
476	14908	16345
477	14936	16311
478	14966	16278
479	14995	16244
480	15022	16209
481	15052	16176
482	15082	16144
483	15112	16111
484	15140	16076
485	15169	16043
486	15198	16010
487	15227	15976
488	15257	15944
489	15288	15912
490	15319	15881
491	15352	15851
492	15380	15817
493	15411	15786
494	15441	15753
495	15472	15722
496	15501	15689
497	15531	15655
498	15561	15623
499	15594	15594
500	15623	15561
501	15656	15531
502	15684	15497
503	15716	15467
504	15750	15439
505	15782	15408
506	15814	15377
507	15845	15346
508	15877	15315
509	15908	15284
510	15940	15253
511	15971	15223
512	16001	15190
513	16032	15159
514	16062	15126
515	16091	15094
516	16120	15060
517	16159	15036
518	16188	15003
519	16218	14971
520	16250	14940
521	16280	14908
522	16311	14876
523	16342	14845
524	16371	14812
525	16400	14779
526	16432	14748
527	16462	14716
528	16493	14684
529	16522	14651
530	16551	14618
531	16582	14587
532	16610	14554
533	16641	14522
534	16670	14489
535	16699	14456
536	16730	14425
537	16763	14395
538	16792	14362
539	16824	14331
540	16854	14300
541	16885	14268
542	16915	14236
543	16944	14203
544	16973	14170
545	17001	14136
546	17033	14106
547	17062	14073
548	17091	14040
549	17120	14008
550	17152	13977
551	17181	13944
552	17213	13913
553	17242	13880
554	17275	13851
555	17306	13820
556	17335	13787
557	17365	13755
558	17394	13722
559	17424	13691
560	17454	13658
561	17486	13628
562	17518	13597
563	17549	13566
564	17579	13534
565	17608	13502
566	17639	13470
567	17669	13438
568	17699	13406
569	17731	13376
570	17763	13345
571	17793	13313
572	17826	13284
573	17856	13252
574	17890	13223
575	17924	13194
576	17956	13163
577	17985	13131
578	18015	13099
579	18044	13066
580	18077	13036
581	18110	13007
582	18145	12978
583	18180	12950
584	18212	12920
585	18244	12889
586	18274	12857
587	18305	12826
588	18334	12793
589	18366	12763
590	18397	12732
591	18428	12700
592	18458	12668
593	18487	12636
594	18529	12612
595	18559	12580
596	18590	12549
597	18620	12517
598	18650	12485
599	18682	12454
600	18712	12423
601	18741	12390
602	18771	12358
603	18801	12326
604	18843	12302
605	18874	12271
606	18904	12239
607	18935	12208
608	18967	12177
609	19000	12147
610	19030	12115
611	19061	12084
612	19096	12055
613	19130	12026
614	19162	11995
615	19193	11964
616	19221	11931
617	19252	11900
618	19284	11869
619	19316	11839
620	19349	11809
621	19382	11778
622	19410	11746
623	19443	11715
624	19471	11682
625	19501	11651
626	19532	11619
627	19566	11590
628	19595	11557
629	19623	11525
630	19656	11494
631	19684	11461
632	19717	11431
633	19746	11399
634	19778	11369
635	19809	11337
636	19840	11306
637	19869	11273
638	19905	11245
639	19938	11215
640	19969	11183
641	19999	11152
642	20029	11120
643	20059	11088
644	20089	11057
645	20119	11025
646	20147	10992
647	20179	10961
648	20208	10929
649	20241	10899
650	20271	10867
651	20302	10836
652	20333	10805
653	20362	10772
654	20393	10741
655	20424	10710
656	20453	10678
657	20485	10647
658	20514	10615
659	20546	10584
660	20576	10552
661	20607	10521
662	20636	10489
663	20665	10457
664	20696	10426
665	20728	10395
666	20757	10363
667	20786	10331
668	20819	10300
669	20853	10270
670	20884	10239
671	20916	10209
672	20944	10176
673	20976	10145
674	21004	10113
675	21033	10081
676	21063	10049
677	21095	10018
678	21124	9986
679	21153	9954
